备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
世界赛道具角色皮肤,2024 女团联动,1,5个代币，保底期望为120$,角色完整皮肤,橙品（S/SP）,付费,2024/02/19,2024/03/01,,,永久,2000,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,橙品（S/SP）角色完整皮肤,
死亡盒子,2024 女团联动,1,4个代币,死亡盒子,橙品（S/SP）,付费,2024/02/19,2024/03/01,,,永久,150,image.png,2024年年1季度,2024年,2024年2月,局内--中低价值外显资源,2,橙品（S/SP）死亡盒子,
蓝品造型抽奖宝箱,2024 女团联动,1,1个代币,皮肤抽奖宝箱,其他,付费,2024/02/19,2024/03/01,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
S级角色动作,2024 女团联动,1,不放回抽奖，不含里程碑奖励，保底为80$,动作,橙品（S/SP）,付费,2024/02/22,2024/02/29,,,永久,500,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,橙品（S/SP）动作,
抽奖券,2024 女团联动,5,Nexterra移动2000,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/23,2024/02/26,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
抽奖券,2024 女团联动,5,Purgatory移动2000,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/23,2024/02/26,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
抽奖券,2024 女团联动,5,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/02/23,2024/02/26,,,限时,40,image.png,2024年年1季度,2024年,2024年2月,抽奖券类资源,2,其他（蓝色）常驻抽奖池2--抽奖券,
A级载具造型资源,2024 女团联动,1,Bermuda移动2000,载具,紫品（A+）,活跃,2024/02/23,2024/02/26,,,永久,400,image.png,2024年年1季度,2024年,2024年2月,局内--中低价值外显资源,2,紫品（A+）载具,
A级载具造型资源,2024 FFWS 印尼地区,1,50代币兑换，完成对局任务获得代币,载具,蓝品（A）,活跃,2024/02/26,2024/03/11,,,永久,300,image.png,2024年年1季度,2024年,2024年2月,局内--中低价值外显资源,2,蓝品（A）载具,
蓝品武器抽奖宝箱,2024 FFWS 印尼地区,1,5代币兑换，完成对局任务获得代币,武器抽奖宝箱,其他,活跃,2024/02/26,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他武器抽奖宝箱,
蓝品皮肤抽奖宝箱,2024 FFWS 印尼地区,1,5代币兑换，完成对局任务获得代币,皮肤抽奖宝箱,其他,活跃,2024/02/26,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年2月,盲盒类资源,2,其他皮肤抽奖宝箱,
金币宝箱,2024 FFWS 印尼地区,2,1代币兑换，完成对局任务获得代币,金币抽奖盒,其他,活跃,2024/02/26,2024/03/11,,,永久,0,image.png,2024年年1季度,2024年,2024年2月,,2,其他金币抽奖盒,
22年世界赛S+拳套造型,2024 FFWS 印尼地区,1,放回式抽奖，含兑换保底，保底期望为120$,近战武器皮肤,红品（S+）,付费,2024/02/29,2024/03/14,,,永久,2400,image.png,2024年年1季度,2024年,2024年2月,局内--高价值外显资源,2,红品（S+）近战武器皮肤,
钻石抽奖券,2024 FFWS 印尼地区,2,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/02,2024/03/04,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券,2024 FFWS 印尼地区,3,登录2天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/02,2024/03/04,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
A级近战武器造型,2024 FFWS 印尼地区,1,玩90min,近战武器皮肤,紫品（A+）,活跃,2024/03/02,2024/03/04,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）近战武器皮肤,
造型抽奖宝箱,2024 FFWS 印尼地区,1,玩15min,武器抽奖宝箱,其他,活跃,2024/03/02,2024/03/04,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
枪皮抽奖宝箱,2024 FFWS 印尼地区,2,玩40min,皮肤抽奖宝箱,其他,活跃,2024/03/02,2024/03/04,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
武器抽奖券,2024 FFWS 印尼地区,7,18场排位,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/04,2024/03/11,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
A+级造型套装抽奖宝箱,2024 FFWS 印尼地区,1,3场排位,皮肤抽奖宝箱,其他,活跃,2024/03/04,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
A+背包造型资源,2024 FFWS 印尼地区,1,登录1天,背包,紫品（A+）,活跃,2024/03/04,2024/03/11,,,永久,200,image.png,2024年年1季度,2024年,2024年3月,局内--中低价值外显资源,3,紫品（A+）背包,
A级枪皮抽奖宝箱,2024 FFWS 印尼地区,2,7场排位,武器抽奖宝箱,其他,活跃,2024/03/04,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
S级枪皮资源,2024 FFWS 印尼地区,1,不放回抽奖，无里程碑奖励,枪械皮肤,橙品（S/SP）,付费,2024/03/06,2024/03/12,,,永久,2000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）枪械皮肤,
武器抽奖券,2024 FFWS 印尼地区,10,抽取折扣购买商城内道具，原价600钻,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/03/08,2024/03/22,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 FFWS 印尼地区,20,抽取折扣购买商城内道具，原价180钻,当期限时抽奖活动--抽奖券,其他,付费,2024/03/08,2024/03/22,,,限时,8,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他当期限时抽奖活动--抽奖券,
斋月换皮资源角色造型套装,2024 FFWS 印尼地区,1,抽取折扣购买商城内道具，原价1000钻,角色完整皮肤,紫品（A+）,付费,2024/03/08,2024/03/22,,,永久,1000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）角色完整皮肤,
紫品动作,2024 FFWS 印尼地区,1,抽取折扣购买商城内道具，原价400钻,动作,紫品（A+）,付费,2024/03/08,2024/03/22,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）动作,
角色造型散件,2024 FFWS 印尼地区,1,抽取折扣购买商城内道具，原价400钻,角色皮肤散件,紫品（A+）,付费,2024/03/08,2024/03/22,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）角色皮肤散件,
角色造型散件,2024 FFWS 印尼地区,1,抽取折扣购买商城内道具，原价400钻,角色皮肤散件,紫品（A+）,付费,2024/03/08,2024/03/22,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）角色皮肤散件,
枪械/皮肤升级材料,2024 FFWS 印尼地区,10,抽取折扣购买商城内道具，原价400钻,枪械/皮肤升级材料,紫品（A+）,付费,2024/03/08,2024/03/22,,,永久,,image.png,2024年年1季度,2024年,2024年3月,,3,紫品（A+）枪械/皮肤升级材料,
枪械/皮肤升级材料,2024 FFWS 印尼地区,10,抽取折扣购买商城内道具，原价400钻,枪械/皮肤升级材料,橙品（S/SP）,付费,2024/03/08,2024/03/22,,,永久,,image.png,2024年年1季度,2024年,2024年3月,,3,橙品（S/SP）枪械/皮肤升级材料,
钻石抽奖券,2024 FFWS 印尼地区,3,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/09,2024/03/11,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券,2024 FFWS 印尼地区,3,造成15000伤害,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/09,2024/03/11,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
B级造型散件资源,2024 FFWS 印尼地区,1,累充70钻,角色皮肤散件,蓝品（A）,付费,2024/03/09,2024/03/16,,,永久,200,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,蓝品（A）角色皮肤散件,
A级枪皮抽奖宝箱,2024 FFWS 印尼地区,1,造成1500伤害,武器抽奖宝箱,其他,活跃,2024/03/09,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
A级造型套装抽奖宝箱,2024 FFWS 印尼地区,2,造成5000伤害,皮肤抽奖宝箱,其他,活跃,2024/03/09,2024/03/11,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
钻石宝箱（保底可开出50钻石）,2024 FFWS 印尼地区,2,累充140钻,钻石抽奖盒,其他,付费,2024/03/09,2024/03/16,,,永久,25,image.png,2024年年1季度,2024年,2024年3月,,3,其他钻石抽奖盒,
钻石,2024 FFWS 印尼地区,12,累充24钻,钻石,其他,付费,2024/03/09,2024/03/16,,,永久,1,image.png,2024年年1季度,2024年,2024年3月,,3,其他钻石,
23年斋月大厅音乐+24年斋月大厅音乐,2024.03斋月,1,登录1天,大厅音乐,紫品（A+）,活跃,2024/03/11,2024/04/17,,,永久,0,image.png,2024年年1季度,2024年,2024年3月,局外社交外显资源,3,紫品（A+）大厅音乐,
钻石抽奖券,2024.03斋月,5,10场排位,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/13,2024/03/25,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
橙色枪皮,2024.03斋月,1,不放回抽奖，期望值为70$,枪械皮肤,橙品（S/SP）,付费,2024/03/13,2024/03/19,,,永久,2000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）枪械皮肤,
A级造型套装抽奖宝箱,2024.03斋月,1,3场排位,皮肤抽奖宝箱,其他,活跃,2024/03/13,2024/03/25,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
B级护盾造型,2024.03斋月,1,25场排位,近战武器皮肤,蓝品（A）,活跃,2024/03/13,2024/03/25,,,永久,300,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,蓝品（A）近战武器皮肤,
升级特效造型,2024.03斋月,1,放回式抽奖，含兑换保底，单个保底期望约80$,角色完整皮肤,橙品（S/SP）,付费,2024/03/15,2024/03/28,,,永久,2000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）角色完整皮肤,
升级特效造型,2024.03斋月,1,放回式抽奖，含兑换保底，单个保底期望约80$,角色完整皮肤,橙品（S/SP）,付费,2024/03/15,2024/03/28,,,永久,2000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）角色完整皮肤,
钻石抽奖券,2024.03斋月,2,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/16,2024/03/18,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券,2024.03斋月,7,吃鸡7次,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/16,2024/03/18,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
幸运抽奖券*20（0.5$*20）,2024.03斋月,20,累充200钻,当期限时抽奖活动--抽奖券,其他,付费,2024/03/16,2024/03/23,,,限时,8,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他当期限时抽奖活动--抽奖券,
A级载具造型*1,2024.03斋月,1,累充100钻,载具,紫品（A+）,付费,2024/03/16,2024/03/23,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--中低价值外显资源,3,紫品（A+）载具,
A级枪皮宝箱,2024.03斋月,1,吃鸡1次,武器抽奖宝箱,其他,活跃,2024/03/16,2024/03/18,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
A级造型套装抽奖宝箱,2024.03斋月,1,吃鸡3次,皮肤抽奖宝箱,其他,活跃,2024/03/16,2024/03/18,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
钻石,2024.03斋月,25,累充50钻,钻石,其他,付费,2024/03/16,2024/03/23,,,永久,1,image.png,2024年年1季度,2024年,2024年3月,,3,其他钻石,
A级枪皮,2024.03斋月,1,活动持续30天，按照每日5场对局需要13天，解锁领取A级枪皮需要活动开启后2周，每日全勤刚好获得,枪械皮肤,紫品（A+）,活跃,2024/03/18,2024/03/23,,,永久,1000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）枪械皮肤,
潮牌S级造型,2024.03斋月,1,放回式抽奖，期望保底需要80美金,角色完整皮肤,橙品（S/SP）,付费,2024/03/20,2024/03/28,,,永久,2000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）角色完整皮肤,
A级造型套装抽奖宝箱,2024.03斋月,1,移动1500m,皮肤抽奖宝箱,其他,活跃,2024/03/20,2024/03/25,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
A级枪皮抽奖宝箱,2024.03斋月,1,移动6000m,武器抽奖宝箱,其他,活跃,2024/03/20,2024/03/25,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
A级降落伞造型,2024.03斋月,1,移动12000m,降落伞,紫品（A+）,活跃,2024/03/20,2024/03/25,,,永久,100,image.png,2024年年1季度,2024年,2024年3月,局内--中低价值外显资源,3,紫品（A+）降落伞,
23年S+枪皮复刻,2024.03斋月,1,放回式抽奖，期望值为100$,枪械皮肤,红品（S+）,付费,2024/03/21,2024/03/30,,,永久,2400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,红品（S+）枪械皮肤,
限定S+角色动作,2024.03斋月,1,放回式抽奖，含兑换保底，单个保底期望约80$,动作,红品（S+）,付费,2024/03/22,2024/04/05,,,永久,1000,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,红品（S+）动作,
武器抽奖券,2024.03斋月,3,登录1天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/23,2024/03/25,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖券,2024.03斋月,5,和战队队员开黑3次,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/23,2024/03/25,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
A级枪皮宝箱,2024.03斋月,2,和战队队员开黑1次,武器抽奖宝箱,其他,活跃,2024/03/23,2024/03/25,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
潮牌B造型散件,2024.03斋月,1,放回式抽奖，单件保底最低需要30美金,角色皮肤散件,紫品（A+）,付费,2024/03/24,2024/04/02,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）角色皮肤散件,
武器抽奖券,2024.03斋月,3,个人捐助金币,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/03/25,2024/04/20,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖券,2024.03斋月,3,个人捐助金币,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/03/25,2024/04/20,,,限时,40,image.png,2024年年1季度,2024年,2024年3月,抽奖券类资源,3,其他（蓝色）常驻抽奖池2--抽奖券,
A级滑板造型,2024.03斋月,1,全服累计捐赠金币,飞行器,蓝品（A）,活跃,2024/03/25,2024/04/20,,,永久,300,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,蓝品（A）飞行器,
B级角色造型抽奖宝箱,2024.03斋月,2,个人捐助金币,皮肤抽奖宝箱,其他,活跃,2024/03/25,2024/04/20,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
B级角色造型抽奖宝箱,2024.03斋月,2,全服累计捐赠金币,皮肤抽奖宝箱,其他,活跃,2024/03/25,2024/04/20,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
枪皮抽奖宝箱,2024.03斋月,3,全服累计捐赠金币,武器抽奖宝箱,其他,活跃,2024/03/25,2024/04/20,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
限定S近战武器造型,2024.03斋月,1,放回式抽奖，单个保底期望约60$,近战武器皮肤,橙品（S/SP）,付费,2024/03/27,2024/04/12,,,永久,500,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,橙品（S/SP）近战武器皮肤,
A级枪皮宝箱,2024.03斋月,1,玩30min,武器抽奖宝箱,其他,活跃,2024/03/27,2024/04/01,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他武器抽奖宝箱,
B级角色造型套装宝箱,2024.03斋月,1,玩90min,皮肤抽奖宝箱,其他,活跃,2024/03/27,2024/04/01,,,永久,40,image.png,2024年年1季度,2024年,2024年3月,盲盒类资源,3,其他皮肤抽奖宝箱,
A级平底锅造型,2024.03斋月,1,玩180min,近战武器皮肤,紫品（A+）,活跃,2024/03/27,2024/04/01,,,永久,400,image.png,2024年年1季度,2024年,2024年3月,局内--高价值外显资源,3,紫品（A+）近战武器皮肤,
